bin,f606w_err,f814w_err,color_err
18.25,0.001,0.001,0.001414213562373095
18.75,0.001,0.001,0.001414213562373095
19.25,0.001,0.001,0.001414213562373095
19.75,0.001,0.001,0.001414213562373095
20.25,0.001,0.001,0.001414213562373095
20.75,0.001,0.001,0.001414213562373095
21.25,0.0013636363636363635,0.0012727272727272728,0.001956185511552245
21.75,0.0016250000000000001,0.002,0.0026636662614988632
22.25,0.0025,0.0027999999999999995,0.003808284671585611
22.75,0.0025384615384615385,0.003,0.003948599420201456
23.25,0.0060526315789473685,0.005842105263157895,0.008635223528855648
23.75,0.005017857142857143,0.006482142857142857,0.008233523085179374
24.25,0.007099009900990098,0.009168316831683168,0.011803256621386825
24.75,0.010134328358208954,0.01687313432835821,0.01989039697898094
25.25,0.01567724867724868,0.02042857142857143,0.025935060855234532
25.75,0.018747524752475247,0.023816831683168317,0.03052642366798468
26.25,0.02237786259541985,0.028572519083969464,0.03648117054289022
26.75,0.0298,0.03538076923076923,0.046522649632102155
27.25,0.04402189781021897,0.04797080291970803,0.0656015170002488
27.75,0.06891228070175438,0.07018546365914788,0.0991658169439311
28.25,0.10682263513513512,0.10159797297297297,0.14967142036536907
28.75,0.15291830065359477,0.1489313725490196,0.21905385411157272
29.25,0.16670370370370372,0.22192592592592592,0.285168241258949
29.75,0.177125,0.40418750000000003,0.4427326986508134
30.25,0.165,0.471,0.49906512601062397
