bin,f606w_err,f814w_err,color_err
18.25,0.169,0.1,0.19636954957426572
18.75,0.001,0.001,0.001414213562373095
19.25,0.001,0.001,0.001414213562373095
19.75,0.001,0.001,0.001414213562373095
20.25,0.001,0.001,0.001414213562373095
21.25,0.00125,0.00125,0.0018251407699364421
21.75,0.0022222222222222222,0.002,0.0030672208512587803
22.25,0.002416666666666667,0.002,0.0031994006884573842
22.75,0.003,0.0032,0.004438420329549196
23.25,0.00385,0.0046,0.006029817471667851
23.75,0.00525,0.00625,0.00823287951050496
24.25,0.007596491228070175,0.01024561403508772,0.012829254985917077
24.75,0.01183673469387755,0.018020408163265306,0.02171896375446809
25.25,0.014463636363636363,0.020527272727272727,0.02527769990379444
25.75,0.018645714285714286,0.025388571428571427,0.03170689686034365
26.25,0.024713592233009708,0.031315533980582524,0.040252017561159155
26.75,0.03483248730964467,0.04034517766497462,0.05390085577841276
27.25,0.054476793248945145,0.056257383966244724,0.07935644628103349
27.75,0.08078167115902965,0.08050673854447439,0.11546062386546575
28.25,0.11236386768447837,0.11449618320610687,0.16327111444893982
28.75,0.15886666666666668,0.16883809523809526,0.23925379994880802
29.25,0.13933333333333334,0.28055555555555556,0.31490445173757475
29.75,0.17914285714285713,0.4667142857142857,0.5003543418212966
